[2025-01-02 21:39:14,187] 19 root - INFO -Initiate the data ingestion 
[2025-01-02 21:39:21,704] 65 root - INFO -Performed train test split on the dataframe 
[2025-01-02 21:39:21,704] 67 root - INFO -Exited split_data_as_train_test method of Data_Ingestion class 
[2025-01-02 21:39:21,704] 75 root - INFO -Exporting train and test file path. 
[2025-01-02 21:39:21,911] 84 root - INFO -Exported train and test file path. 
[2025-01-02 21:39:21,911] 21 root - INFO -Data Initiation Completed 
[2025-01-02 21:39:21,952] 25 root - INFO -Initiate the data Validation 
[2025-01-02 21:39:22,128] 32 root - INFO -Required number of columns:2 
[2025-01-02 21:39:22,128] 33 root - INFO -Data frame has columns:31 
[2025-01-02 21:39:22,128] 32 root - INFO -Required number of columns:2 
[2025-01-02 21:39:22,128] 33 root - INFO -Data frame has columns:31 
[2025-01-02 21:39:22,469] 27 root - INFO -data Validation Completed 
[2025-01-02 21:39:22,469] 30 root - INFO -data Transformation started 
[2025-01-02 21:39:22,469] 63 root - INFO -Entered initiate_data_transformation method of DataTransformation class 
[2025-01-02 21:39:22,469] 65 root - INFO -Starting data transformation 
[2025-01-02 21:39:22,565] 48 root - INFO -Entered get_data_trnasformer_object method of Trnasformation class 
[2025-01-02 21:39:22,565] 53 root - INFO -Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'} 
[2025-01-02 21:39:22,602] 44 root - INFO -Entered the save_object method of MainUtils class 
[2025-01-02 21:39:22,602] 48 root - INFO -Exited the save_object method of MainUtils class 
[2025-01-02 21:39:22,602] 44 root - INFO -Entered the save_object method of MainUtils class 
[2025-01-02 21:39:22,616] 48 root - INFO -Exited the save_object method of MainUtils class 
[2025-01-02 21:39:22,616] 34 root - INFO -data Transformation completed 
[2025-01-02 21:39:22,616] 35 root - INFO -Model Training sstared 
