[2025-01-03 09:35:55,638] 20 root - INFO -Initiate the data ingestion 
[2025-01-03 09:36:10,052] 65 root - INFO -Performed train test split on the dataframe 
[2025-01-03 09:36:10,052] 67 root - INFO -Exited split_data_as_train_test method of Data_Ingestion class 
[2025-01-03 09:36:10,054] 75 root - INFO -Exporting train and test file path. 
[2025-01-03 09:36:10,378] 84 root - INFO -Exported train and test file path. 
[2025-01-03 09:36:10,379] 22 root - INFO -Data Initiation Completed 
[2025-01-03 09:36:10,446] 26 root - INFO -Initiate the data Validation 
[2025-01-03 09:36:11,039] 32 root - INFO -Required number of columns:2 
[2025-01-03 09:36:11,045] 33 root - INFO -Data frame has columns:31 
[2025-01-03 09:36:11,046] 32 root - INFO -Required number of columns:2 
[2025-01-03 09:36:11,046] 33 root - INFO -Data frame has columns:31 
[2025-01-03 09:36:12,225] 28 root - INFO -data Validation Completed 
[2025-01-03 09:36:12,240] 31 root - INFO -data Transformation started 
[2025-01-03 09:36:12,240] 63 root - INFO -Entered initiate_data_transformation method of DataTransformation class 
[2025-01-03 09:36:12,240] 65 root - INFO -Starting data transformation 
[2025-01-03 09:36:12,359] 48 root - INFO -Entered get_data_trnasformer_object method of Trnasformation class 
[2025-01-03 09:36:12,360] 53 root - INFO -Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'} 
[2025-01-03 09:36:12,425] 46 root - INFO -Entered the save_object method of MainUtils class 
[2025-01-03 09:36:12,435] 50 root - INFO -Exited the save_object method of MainUtils class 
[2025-01-03 09:36:12,436] 46 root - INFO -Entered the save_object method of MainUtils class 
[2025-01-03 09:36:12,444] 50 root - INFO -Exited the save_object method of MainUtils class 
[2025-01-03 09:36:12,446] 35 root - INFO -data Transformation completed 
[2025-01-03 09:36:12,446] 37 root - INFO -Model Training sstared 
