[2025-01-02 14:56:29,687] 18 root - INFO -Initiate the data ingestion 
[2025-01-02 14:56:48,916] 65 root - INFO -Performed train test split on the dataframe 
[2025-01-02 14:56:48,916] 67 root - INFO -Exited split_data_as_train_test method of Data_Ingestion class 
[2025-01-02 14:56:48,916] 75 root - INFO -Exporting train and test file path. 
[2025-01-02 14:56:49,395] 84 root - INFO -Exported train and test file path. 
[2025-01-02 14:56:49,399] 20 root - INFO -Data Initiation Completed 
[2025-01-02 14:56:49,450] 24 root - INFO -Initiate the data Validation 
[2025-01-02 14:56:49,761] 32 root - INFO -Required number of columns:2 
[2025-01-02 14:56:49,762] 33 root - INFO -Data frame has columns:31 
[2025-01-02 14:56:49,762] 32 root - INFO -Required number of columns:2 
[2025-01-02 14:56:49,770] 33 root - INFO -Data frame has columns:31 
[2025-01-02 14:56:50,613] 26 root - INFO -data Validation Completed 
[2025-01-02 14:56:50,617] 29 root - INFO -data Transformation started 
[2025-01-02 14:56:50,617] 63 root - INFO -Entered initiate_data_transformation method of DataTransformation class 
[2025-01-02 14:56:50,617] 65 root - INFO -Starting data transformation 
[2025-01-02 14:56:50,796] 48 root - INFO -Entered get_data_trnasformer_object method of Trnasformation class 
[2025-01-02 14:56:50,796] 53 root - INFO -Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'} 
[2025-01-02 14:56:50,913] 42 root - INFO -Entered the save_object method of MainUtils class 
[2025-01-02 14:56:50,925] 46 root - INFO -Exited the save_object method of MainUtils class 
[2025-01-02 14:56:50,925] 42 root - INFO -Entered the save_object method of MainUtils class 
[2025-01-02 14:56:50,931] 46 root - INFO -Exited the save_object method of MainUtils class 
[2025-01-02 14:56:50,947] 33 root - INFO -data Transformation completed 
