[2025-01-02 11:32:53,924] 20 root - INFO -Initiate the data ingestion 
[2025-01-02 11:32:59,899] 65 root - INFO -Performed train test split on the dataframe 
[2025-01-02 11:32:59,899] 67 root - INFO -Exited split_data_as_train_test method of Data_Ingestion class 
[2025-01-02 11:32:59,899] 75 root - INFO -Exporting train and test file path. 
[2025-01-02 11:33:00,106] 84 root - INFO -Exported train and test file path. 
[2025-01-02 11:33:00,106] 22 root - INFO -Data Initiation Completed 
[2025-01-02 11:33:00,214] 26 root - INFO -Initiate the data Validation 
[2025-01-02 11:33:00,459] 32 root - INFO -Required number of columns:2 
[2025-01-02 11:33:00,469] 33 root - INFO -Data frame has columns:31 
[2025-01-02 11:33:00,469] 32 root - INFO -Required number of columns:2 
[2025-01-02 11:33:00,469] 33 root - INFO -Data frame has columns:31 
[2025-01-02 11:33:00,848] 28 root - INFO -data Validation Completed 
